Name	Catagory	Icon	Banner	Link	Up In coming? 	imbed Link
VS Studio Code	utils	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/Visual_Studio_Code_1.35_icon.svg.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/visual-studio-code-banner-image.jpg		No	
Minecraft	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(11).jpeg		No	
Mario Kart DS	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download.jpg	https://github.com/gibrilphil/CampusGamesDataBase/blob/main/download%20(84).jpeg?raw=true		No	
2d DOOM	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(83).jpeg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(12).jpeg		No	
Henry StickMen Stealing the Diamond	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/hqdefault%20(1).jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(85).jpeg		No	
Pizza Tower Web Port	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(86).jpeg		No	
Hollow Knight	Adventure	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(87).jpeg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(88).jpeg		No	
Fead The Snakes	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/pit-viper-snake.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/1000_F_465406888_gTJmEw4L8styBBIh76qT385fVsrApBSs.jpg		No	
Super Smash Flash 2	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/unnamed.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/download%20(89).jpeg		No	
Run	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/unnamed.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/20-204188_logo-template-banner-throughout-banner-design-template-template.jpg		No	
Run 3	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/runnnnn3n3n3n3n3.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images.jpg		No	
Thirstiest Time Of the Year	Action	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/timew.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/thirsty.jpg		No	
The Impossible Quiz	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/impqiz.png	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/impqdrrrrr.jpg		No	
The impossible Quiz 2	Puzzle	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/Chrome_screenshot_1682223862037.webp	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/TIQ2_logo.webp		No	
Super Mario 64	Adventure	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/c31a880382c0d952211b992535900ea2.ico	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/fe895c991a5152476a051ae74fcbf8ac.jpg		No	
Geometry Dash		https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/309038391b4f5179ebfd310a5fe7de231efa3f80/Geometry_Dash_Icon.svg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/gdddddd.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/g	Yes	https://file.garden/Zya8-gItADlYXzdp/gdahh/index.html